agency,state,state_control,now_part_of,last_ruler
PunjabStatesAgency,Faridkot,PrincelyState,Punjab,"ColonelFarzand-i-Saadat-i-Nishan-i-Hazrat-i-Kaiser-i-HindMaharajaSirHarinderSinghBrarBansSahibBahadur,MaharajaofFaridkot"
PunjabStatesAgency,Jind,PrincelyState,PunjabandHaryana,"MaharajaSatbirSingh[""PrinceSunny""],MaharajaofJind"
PunjabStatesAgency,Kalsia,PrincelyState,Haryana,RajaHimmatSherSinghSahibBahadur
PunjabStatesAgency,Kangra,PrincelyState,HimachalPradesh,RajaAdityaDevChandKatoch(annexedtoBritishIndiain1846bytheTreatyofLahore)
PunjabStatesAgency,Kapurthala,PrincelyState,Punjab,"Brig.MaharajaSriSukhjitSinghSahibBahadur,MaharajaofKapurthala"
PunjabStatesAgency,Kumharsain,PrincelyState,HimachalPradesh,RanaSurendraSingh
PunjabStatesAgency,LoharuState,PrincelyState,Haryana,"NawabMirzaAlauddinAhmadKhanII(aliasParvezMirza),NawabofLoharu"
PunjabStatesAgency,Malerkotla,PrincelyState,Punjab,NawabMuhammadIftikhar'AliKhanBahadur(lastnawab)
PunjabStatesAgency,Mandi,PrincelyState,HimachalPradesh,Maj.RajaSirJOGINDERSENBahadur
PunjabStatesAgency,Nabha,PrincelyState,Punjab,SirPratapSinghSirHiraSingh
PunjabStatesAgency,Patiala,PrincelyState,Punjab,MaharajadhirajSirYadavindraSinghMahendraBahadur
PunjabStatesAgency,Rajgarh,PrincelyState,HimachalPradesh,MaharaniSushilaSinha
PunjabStatesAgency,Sirmur,PrincelyState,HimachalPradesh,Lt.MaharajaRajendraPrakashBahadur
PunjabStatesAgency,Suket/Sundernagar,PrincelyState,HimachalPradesh,RajaHariSenBahadurofSuket
PunjabStatesAgency,Siba,PrincelyState,HimachalPradesh,"RajaDr.AshokK.Thakur,RajaofSiba&Tantpalan"
PunjabStatesAgency,TehriGarhwal,PrincelyState,Uttarakhand,MaharajaManabendraShahSahibBahadur
RajputanaAgency,Alwar,PrincelyState,Rajasthan,"RajRishiShriSawaiMaharajaJitendraPratapSinghjiVeerendraShiromaniDevBharatPrabhakarBahadurJitendraSingh,MaharajaofAlwar."
RajputanaAgency,Banswara,PrincelyState,Rajasthan,"RaiRayanMahimahendraMaharajadhirajMaharawaljiSahibShriJagmaljiIISahibBahadur,NareshRajya,MaharawalofBanswara."
RajputanaAgency,Bharatpur,PrincelyState,Rajasthan,ShriMaharajaShriBrajendraSawaiVishvendraSinghBahadurJang
RajputanaAgency,Bikaner,PrincelyState,Rajasthan,"SriRajRajeshwarMaharajadhirajNarendraSawaiMaharajaShiromaniRaviRajSinghjiBahadur,MaharajaofBikanerandHeadoftheRoyalHouseofBikaner."
RajputanaAgency,Bundi,PrincelyState,Rajasthan,Col.MaharaoRajaShriBahadurSinghjiBahadur
RajputanaAgency,Dholpur,PrincelyState,Rajasthan,"Maharajadhiraja, Shri Sawai Maharaj Rana Shri Hemant Singh, Lokendra Bahadur, Diler Jang Jai Deo, Maharaj Rana of Dholpur"
RajputanaAgency,Dungarpur,PrincelyState,Rajasthan,"Rai-i-Rayan,Mahimahendra,MaharajadhirajMaharawalShriMahipalSinghjiIISahibBahadur,MaharawalofDungarpur."
RajputanaAgency,Jaipur,PrincelyState,Rajasthan,HHSaramad-i-RajahaiHindustanRajRajendraShriMaharajadhirajSirSawaiMaharajaSawaiManSinghII
RajputanaAgency,Jaisalmer,PrincelyState,Rajasthan,MaharajadhirajMaharawalSirJawahirSinghBahadur
RajputanaAgency,Jhalawar,PrincelyState,Rajasthan,"MaharajadhirajMaharajRanaShriChandrajitSinghDevBahadur,MaharajRanaofJhalawar."
RajputanaAgency,Jodhpur,PrincelyState,Rajasthan,"RajRajeshwarSaramad-i-Rajha-i-HindustanMaharajadhirajaMaharajaShriGajSinghjiIISahibBahadur,MaharajaofJodhpur."
RajputanaAgency,Karauli,PrincelyState,Rajasthan,MaharajaShriGaneshPalDeoBahadurYadakulChandraBhal
RajputanaAgency,Kishangarh,PrincelyState,Rajasthan,UmdaeRajhaeBulandMakanMaharajadhirajaMaharajaSumerSinghjiBahadur
RajputanaAgency,Kotah,PrincelyState,Rajasthan,MaharaoShriBhimSinghIIBahadur
RajputanaAgency,Kushalgarh,PrincelyState,Rajasthan,RaoHarendraSingh
RajputanaAgency,"Sardargarh(formerlyLawa),thikanainUdaipur",PrincelyState,Rajasthan,RaoHarendraSingh
RajputanaAgency,Mewar,PrincelyState,Rajasthan,MaharanaSirBhupalSingh
RajputanaAgency,"Patan,Rajasthan",PrincelyState,Rajasthan,RaoBirBikramSingh
RajputanaAgency,Pratabgarh,PrincelyState,Rajasthan,RajaAjitPratapSingh
RajputanaAgency,Shekhawati,PrincelyState,Rajasthan,ShriMaharaoSheorajSingh
RajputanaAgency,Shahpura,PrincelyState,Rajasthan,RajadhirajSudershanSingh
RajputanaAgency,Sirohi,PrincelyState,Rajasthan,MaharaoRaghubirSingh
RajputanaAgency,Tonk,PrincelyState,Rajasthan,NawabMuhammadFaruqAliKhan
Gujarat States Agency and Baroda Residency,Bajana,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,BansdaState,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,Manavadar,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,Baroda,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,Bhavnagar,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,Cambay,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,ChhotaUdaipur,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,Cutch,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,Charkha,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,Dangs,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,Dhrangadhra,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,Dhrol,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,Gondal,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,Idar,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,Jamnagar,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,Jawhar,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,Junagadh,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,Lathi,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,Limbda,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,Limdi,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,Lunavada,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,Morvi,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,Muli,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,Nawanagar,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,Palanpur,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,PorbandarState,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,Poshina,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,Radhanpur,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,Rajkot,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,RajparaState(Halar),PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,Rajpipla,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,AmbliaraStateSabarkanthaAgency,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,Sachin,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,Sanjeli,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,Sant,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,Surgana,PrincelyState,Gujarat,
